㱸	歹辛 gn
㳼	戈水 pk
㵥	氵皿 ka
㵨	尸水 ck
㹃	非牛 rq
㻫	王 nu
㻶	王聿 nb
㿫	皮 vr
䀣	目丿 qt
䁹	目辛 qn
䃾	礻匕 fv
䄶	禾弗 xt
䇷	⺮刂 rp
䉾	米 ap
䊧	米貝 po
䋔	糹一 if
䌟	糹辛 in
䎵	耳丿 qt
䏢	月皮 vr
䏶	月土 vg
䕗	艹丌 ll
䖩	虫丿 ct
䘡	衣 vt
䟆	走 pu
䟤	⻊丿 pt
䠋	⻊十 pn
䣥	酉匕 yv
䦘	門艮 ai
䧗	阝夊 th
䨆	㡀隹 fu
䩛	革丿 tt
䪐	韋丿 gt
䫁	自頁 ow
䫾	⺇丿 ot
䬛	⺇ ou
䭮	镸自 po
䮡	馬夊 nh
䯗	骨土 fg
䵄	木豆 ez
佊	亻皮 jr
娝	女口 bd
嬶	女丌 bl
崥	山十 vn
幤	尚巾 sr
廦	广辛 xn
怶	忄皮 hr
旇	方皮 lr
朇	亼十 jn
朼	木匕 ev
榌	木飛 ec
毞	毛 vv
獙	犭攵 mh
畁	由丌 dl
睤	目丌 ql
稫	禾田 xq
笓	⺮匕 rv
篳	⺮ ru
粊	米 vp
紕	糹匕 iv
紴	糹皮 ir
縪	糹 iu
罼	罒 yu
翍	羽皮 zr
胇	月弗 vt
萞	艹匕 lv
蓽	艹 lu
螕	虫匕 cv
袐	衤丿 tt
襅	衤 tu
襣	衤丌 tl
詖	言皮 sr
豍	豆十 zn
貱	貝皮 or
贔	貝貝 oo
躃	⻊辛 pn
躄	尸足 cp
鄨	㡀巴 fm
鄪	弗阝 tt
閇	門卜 ay
閈	門干 ae
鞸	革 tu
韠	韋 gu
駜	馬丿 nt
驆	馬 nu
魓	鬼 au
鮅	魚丿 wt
鰏	魚田 wq
鵖	鳥 ix
鷝	田鳥 qx
鼊	尸黽 cd
𠈺	亻土 jg
𠋯	亻臼 jp
𠓷	入乂 jb
𠛡	心刂 hp
𠡂	弗力 ts
𠦈	井十 qn
𠧅	冎十 fn
𠨘	心卩 hz
𠩿	厂十 xn
𠬈	土十 gn
𠮃	尸又 cr
𠽩	口聿 db
𡚁	㡀大 fm
𡛗	女 vb
𡠚	女 bu
𡳄	尸口 cd
𡻞	山 vu
𡽶	山丌 vl
𢁽	巾丿 rt
𢅩	巾匕 rv
𢍁	由廾 dl
𢐦	尸弓 cb
𢖬	忄 hv
𢘍	弗心 th
𢞗	忄匕 hv
𢟵	忄土 hg
𢡅	忄木 he
𢩒	戶巴 mm
𢲾	扌丿 ut
𢳋	扌十 un
𢴩	扌聿 ub
𣁉	心文 hv
𣁢	㡀文 fv
𣋹	日廾 ol
𣔓	木皮 er
𣕾	木丿 et
𣘥	木丿 et
𣚡	木木 ee
𣝍	木寸 ek
𣢠	心欠 he
𣥣	止皮 sr
𣦇	止夊 sh
𣦢	尸止 cs
𣩩	尸歹 cg
𣮐	毛十 vn
𣯴	毛 vu
𣴨	氵自 ko
𤂀	氵大 km
𤅹	氵大 km
𤐙	火辛 cn
𤗚	片田 aq
𤙞	牜土 qg
𤜻	犭匕 mv
𤝸	犭米 mp
𤠺	犭 mu
𤡝	犭土 mg
𤢣	犭辛 mn
𤵘	疒丿 at
𤹝	疒 au
𤹦	疒口 ad
𤻖	疒丌 al
𤽊	白匕 uv
𥆯	目土 qg
𥈗	目頁 qw
𥏠	矢十 on
𥛘	礻 fu
𥟗	禾丌 xl
𥢦	禾灬 xc
𥳆	⺮攵 rh
𥴬	⺮辛 rn
𦀘	糹土 ig
𦂖	糹廾 il
𦑞	羽田 zq
𦔆	⽾田 aq
𦠞	㡀⺼ fv
𦤫	自丌 ol
𦭼	⺿又 lr
𦯛	⺿廾 ll
𦰙	⺿廾 ll
𦱔	艹匕 lv
𦳈	⺿匕 lv
𦸣	⺿十 ln
𧏻	虫 cu
𧒀	虫攵 ch
𧓄	虫辛 cn
𧓎	白虫 uc
𧝬	㡀衣 ft
𧤃	⺈丌 xl
𧥑	戈用 pt
𧫤	言 su
𧲜	尸 cw
𧳠	豸丌 ml
𧼱	走夊 ph
𨅗	⻊聿 pb
𨋥	車弗 yt
𨋩	車犬 ym
𨐨	尸井 cq
𨚓	弗阝 tt
𨟵	酉匕 yv
𨠔	酉丿 yt
𨲋	镸十 pn
𨳲	門卜 ay
𨵰	門卜 ay
𨸼	阝丿 tt
𨻀	阝匕 tv
𨻼	阝土 tg
𩉫	革匕 tv
𩊰	革土 tg
𩏂	韋十 gn
𩑻	白頁 uw
𩣚	馬口 nd
𩪖	骨 fu
𩪧	辛 fn
𩯃	镸貝 po
𩲢	鬼皮 ar
𩾳	鳥㇆ xa
𪋜	鹿 xu
𪌄	木巳 ev
𪍪	木 eu
𪏺	禾丿 xt
𪐄	禾十 xn
變	言攵 sh
変	亠夊 zh
編	糹 ii
辺	刀辶 pu
釆	丿米 tp
邊	自辶 ou
籓	⺮田 rq
徧	彳 wi
貶	貝之 or
窆	穴之 er
辯	辛 nn
閞	門廾 al
邉	自辶 ou
艑	舟 ii
甂	户瓦 mr
缏	纟 ib
辮	辛 nn
鶣	户鳥 mx
鍽	金 zi
汳	氵又 kr
覵	門見 ae
臱	自方 ol
辧	辛 nn
鞕	革 tb
揙	扌 ui
炞	火卜 cy
獱	犭貝 mo
疺	疒之 ar
鯾	魚 wb
㝸	小儿 yp
㣐	白彡 ue
㦚	辛 nn
㭓	木廾 el
㲢	户毛 mv
㳎	氵廾 kl
㴜	氵 ki
㵷	辛 nn
㺹	王廾 nl
䁵	目 qt
䉸	⺮辛 rn
䒪	艹廾 ll
䛒	工言 us
䡢	車 yi
䪻	厶頁 kw
峅	山廾 vl
惼	忄 hi
牑	片 ai
猵	犭 mi
玣	王卜 ny
稨	禾 xi
箯	⺮ rb
籩	⺮辶 ru
糄	米 pi
緶	糹 ib
藊	艹 li
覍	小見 ye
諚	言疋 st
辡	辛 nn
鯿	魚 wi
鴘	厶鳥 kx
𠐈	亻方 jl
𠑟	亻辶 ju
